,ngram,comment,label
0,stur,"Why can't the Indian government take serious actions to those who talk against
the nation or anyone who involved in instigating any sort of violence or
di<ng>stur</ng>bing the peace of the nation. Freedom of speech doesn't allow anyone to
go anti-national. This bitch (Arundhati Roy) has already given such statements
that are anti-national on numerous occasions but she is still living freely.
It's high time for the government to pass a law against these bastards, it
doesn't matter who you are.",NAG
1,stur,"Nupur Sharma trolled the living daylights out of that accented lady, Ka<ng>stur</ng>i
Shankar. Good one :D",NAG
2,stur,Ka<ng>stur</ng>i talk like stupid (chutya),NAG
3,stur,"Looks like ms Ka<ng>stur</ng>i has no idea on the law !!! Freedom of speech is
different than sedition, defamation",NAG
4,stur,"hello sir i respect your views all other things talk about liberals or other
stuff i personally also hate them but I have one request actually you can
create another channel regarding this matter ""politics in hindi cinema world""
but i personally think this channel should be stick to its main motive of
reviewing the movie your previous videos are best from your open opinion
without any fear and straight point of view. i became fan of yours but with
these few episodes in which you mostly talk about political matters somewhat
Di<ng>stur</ng>b audience BTW you are doing a great job God bless you.",NAG
5,stur,"Government should immediately put AR behind bars for giving such illegal
suggestions. Ka<ng>stur</ng>i Shankar seems to be an actor without brains. Plz do not
call her again, very stupid comments from her...",NAG
6,stur,Yrrrr Saurabh let the Sardesai speak. Don't di<ng>stur</ng>b him ....,NAG
7,stur,"who is this lady KA<ng>stur</ng>I ,why is she here",NAG
8,stur,"Ka<ng>stur</ng>i what in your dictionary means dissent? Addressing a group of novice
individuals to fill them up with sedation and hatred towards the country and
its policy makers?",NAG
9,stur,Why does someone slap that Ka<ng>stur</ng>i and tell her that it's my discent,NAG
10,"nd
","What the fuck was this? I respect shwetabh and i have been watching his videos
for quite a long time but this review was shit. Nobody wants to watch the
movie for reality or blah. You dont watch movies for inspiration you would
rather read books and biographies. Yes its true that some people are getting
influenced and doing all shitty fuckery but just think. Anyone who takes this
movie seriouslyis already a chutiya. And you dont go to theatre in india for
some reality shit and if u really seek reality and logical scripts a<ng>nd
</ng>characters without plotholes and all then you wouldnt be watching kabir singh.
So I think you just made this for views,  
cause theres no need for this so called raw review. And one thing you acted
like u forgot the movie name like seriously you know the whole story and you
pronounced this overhyped mess wrongly? Oh common!!!😂",NAG
11,"nd
","I literally cannot imagine a scenario where I'd be watching content from this
channel, leave alone penning down a comment. I personally abhor this
propaganda infused right-wing program and have reported it multiple times.
It's in the best interest of the nation if it ceases to exist from the digital
platforms and is confined to television only. Nevertheless, needed to get
certain thoughts off of my chest so here goes:  
1\. Stop broadcasting these staged debates that resemble poorly produced
b-grade flicks at best. The background score during the intro, the
participants who are more like the bickering neighborhood aunties than
dignified panelists, etc. stink of sub-standard nonsense. Stop fooling the
public.  
2\. Instead of all this nonsense, why the hell can't you show how the PM a<ng>nd
</ng>Home Minister have successfully confused the nation and are literally behaving
like clueless self-contradicting juveniles?  
3\. With a few days left for 2020, our nation is yet to overcome the confines
of religion. I had high hopes for my country and had started believing that we
would achieve great heights in the field of Science and Technology that would
put us in the big leagues, but no, we are all weighed down by this archaic
concept (read religion) and have ensured that progress is a goal that is quite
far from our reaches.  
A note to Republic TV:  
Instead of showing all this nonsense about anti-nationals, lutyens and what
not please focus on key items that are deterring our nation (unemployment,
poor economy,etc.). The mass does not care about the sub-standard reporting
you do on these ridiculous theories. They want some concrete information that
the news channels alone can provide.",NAG
12,"nd
","she is castigating our citizens to direspect our country and its law .who
donkys gave her Booker prize .she is mocking and insulting our country a<ng>nd
</ng>behaving like wicked and crafty woolf . shame on you .you wampnthi . q
chutyapnti kar rahi ho . jai hnind .jay jagat .",NAG
13,"nd
","but can you catch them, no....if yes fial complian agaist them in court a<ng>nd
</ng>punish then and put them in jail..but you cant//this is the fact...she is the
danderous lady and you are helpless..court are reluktunt to punish them",NAG
14,"nd
","This lady from BJP is crazy this is how u react man such a foolish a<ng>nd
</ng>ignorant lady",NAG
15,"nd
","Well I do agree with most of the points you said..but I just feel that the
initial things done by Kabir in order to approach Priti were kind of scary.
Normally any girl would get scared. Priti's reaction to all of that was ki<ng>nd
</ng>of weird to me.",NAG
16,"nd
","If u need a realistic and grounded love story, watch '96\. Vijay setupathy a<ng>nd
</ng>trisha. It is a tamil movie. watch it with subs.",NAG
17,"nd
","Arnab don't give more important to Mrs.Roy. Just take her in custody a<ng>nd
</ng>demonstrate law exist",NAG
18,"nd
","@Arnab: Do you know what are the plans of Govt with the Illegal immigrants?
How would a refugee prove religious persecution? Why have we shown selective
compassion?  
Do you really think it is the right time for India to do an activity like NRC
given the facts that almost 20% population are below poverty line and 30% of
adult population are still illiterate which constitutes more than 50% Women
who are still deprived of their basic needs. Do you think, this is the time
such exercise would be of any beneficial to India? Don't you think the CJI a<ng>nd
</ng>GOI has wasted our huge 16K Cr rupees in this unsuccessful exercise and if we
live the money aside, look at the extent of trouble and pain people went in
Assam due to this.  
The reason I Pointed to NRC is because NPR is nothing but Opening Step of NRC
and with reference to Scroll.in(correct me if I am wrong) the new questions
added to NPR are indicators of the NRC exclusion process.  
You being a Journalist and from Assam, doesn't this pinches your heart a<ng>nd
</ng>raises alarm. Is there no value of human life on this land anymore?  
  
I strongly Oppose NRC, Oppose CAA amendment in the current situation.  
Was there any effective effort from GOI to stop the infiltration?  
  
GOI is just find ways to treat us like goats every now and then.  
  
I know, this questions should be thrown at GOI, however, as I see you a so
called representative of the GOI most of the time, so, I am throwing this on
you.  
Moreover, whats wrong with you getting stuck in this stupid debates on who
told what. Everyone around us promote lies everyday. Nobody really bothers
that anymore. Starting from PM to HM to Activist everyone promotes lies
everywhere but no facts. So, Arundhati is no different, where we cannot trust
the PM/CJI for that matter, who is Arundhati in that league. No one cares
about her. I stopped watching your channel, just thought of looking over today
for a change, but nothing changed. Same insensitive arguments and false
narratives. I wish I could say alternate narratives, but I see them clearly to
be false.  
Also JFYI, I supported the change in Govt, but really regretting now. I dont
support any political party anymore. So, please dont ask me why didn't I speak
during UPA rule. I dont have to answer that to you.",NAG
19,"nd
","no one is homosexual by birth, their is no scientific or genetic proof. :) it
arises when people get tired of the natural process. And this is basically
because of the arising pornography and vulgarity that is openly viewed a<ng>nd
</ng>displayed and majority are prone to it so when they grow tired of the nature,
they tend to find pleasure in something that goes against nature. So we need
to support good and decent content on media and promote early marriages to
abstain from this taboo. And ofcourse this homosexuality is a sign of the day
of judgement as we Muslims believe so we need to seek forgiveness and thank
Allah for His blessings.
[#freedomofspeech](http://www.youtube.com/results?search_query=%23freedomofspeech)
:) good day",NAG
20,e bes,sh<ng>e bes</ng>t arbitrator in kamatipura & sonargachi area settlements,NAG
21,e bes,"will blockbuster Kabir singh..  
Yes : Like  
No : Comment  
  
all th<ng>e bes</ng>t shahid ji😍👇👇  
From Rebal star prabhas Fans",NAG
22,e bes,"I literally cannot imagine a scenario where I'd be watching content from this
channel, leave alone penning down a comment. I personally abhor this
propaganda infused right-wing program and have reported it multiple times.
It's in th<ng>e bes</ng>t interest of the nation if it ceases to exist from the digital
platforms and is confined to television only. Nevertheless, needed to get
certain thoughts off of my chest so here goes:  
1\. Stop broadcasting these staged debates that resemble poorly produced
b-grade flicks at best. The background score during the intro, the
participants who are more like the bickering neighborhood aunties than
dignified panelists, etc. stink of sub-standard nonsense. Stop fooling the
public.  
2\. Instead of all this nonsense, why the hell can't you show how the PM and
Home Minister have successfully confused the nation and are literally behaving
like clueless self-contradicting juveniles?  
3\. With a few days left for 2020, our nation is yet to overcome the confines
of religion. I had high hopes for my country and had started believing that we
would achieve great heights in the field of Science and Technology that would
put us in the big leagues, but no, we are all weighed down by this archaic
concept (read religion) and have ensured that progress is a goal that is quite
far from our reaches.  
A note to Republic TV:  
Instead of showing all this nonsense about anti-nationals, lutyens and what
not please focus on key items that are deterring our nation (unemployment,
poor economy,etc.). The mass does not care about the sub-standard reporting
you do on these ridiculous theories. They want some concrete information that
the news channels alone can provide.",NAG
23,e bes,Kabir singh one of th<ng>e bes</ng>t love story. Dil se jud gayi movie,NAG
24,e bes,You are th<ng>e bes</ng>t critic,NAG
25,e bes,This is soo true 💯💯💯💯💯❤ bhai..u ar<ng>e bes</ng>t..,NAG
26,e bes,"South movie fans like here
They ar<ng>e bes</ng>t than bollywood movie",NAG
27,e bes,"Every movie in Bollywood is a musical, no one gives a shit but Hollywood's one
musical becomes th<ng>e bes</ng>t one ever made.",NAG
28,e bes,"Shwetabh Bhai, you are one of th<ng>e bes</ng>t Youtuber.",NAG
29,e bes,"hello sir i respect your views all other things talk about liberals or other
stuff i personally also hate them but I have one request actually you can
create another channel regarding this matter ""politics in hindi cinema world""
but i personally think this channel should be stick to its main motive of
reviewing the movie your previous videos ar<ng>e bes</ng>t from your open opinion
without any fear and straight point of view. i became fan of yours but with
these few episodes in which you mostly talk about political matters somewhat
Disturb audience BTW you are doing a great job God bless you.",NAG
30,f d,"Dowry / Domestic Violence (JUSTICE FOR MEN)  
  
Team Nexus is an NGO (Non profit Non GOVT organization), engaged in social
work to serve the Families that seek to assist to resolve and recover from
minor domestic disputes / tussle / allegations etc. These Families suffer
trauma and depression in their attempts to be together again. Our first
priority is to save the family by mending the bitter relationship and also
know the reality of the allegations irrespective of gender. We directly or
indirectly help others to, support the main victims o<ng>f d</ng>omestic dispute and
domestic violence. Family tension affects people from all walks of life
regardless of gender, sexual orientation or race. Men, in particular, suffer
because of the lack of recognition and awareness by society and often the lack
of local services available to support them. It is a travesty of justice; we
cannot silently ignore because we've felt the sting of false accusations made
by women o<ng>f d</ng>omestic violence or anti dowry act (498A), and resolved to try to
prevent this injustice from continuing. We haven't been able to stop it, but
we wish to help male victims to fight against injustice side of the system.  
IF YOU ARE A MALE VICTIM YOU ARE NEITHER “WEAK” NOR “ALONE” CALL US FOR
EMOTIONAL AND LEGAL SUPPORT AT :09814055672, CHANDIGARH",NAG
