,ngram,comment,label
0,randi,"Sucharita is saying its a bad muv so now it's a must watch film 😁😁😁😁😁 take
this sucharita <ng>randi</ng>🖕🖕🖕🖕🖕🖕",GEN
1,randi,"She tells her name as <ng>randi</ng>, gandwa as her father, jugaad as mother😂😂😂😂",GEN
2,randi,"Sir , another feminazi libe<ng>randi</ng>'s rant on kabir singh.check it here,ppl r
bashing her left n ryt. See dis plz 😂 n dnt forget to dislike her video guys  
<https://youtu.be/C-lRyevxevA>",GEN
3,randi,"I think against devil like <ng>randi</ng> arundati..we need to rise...kick there ass
and threw these dirty shit far away from our country.",GEN
4,randi,"I advice <ng>randi</ng>...RANDY fr anudhiti Roy tell her name ...when officials come to
her door...... filthiest hore..",GEN
5,randi,Only here to dislike this <ng>randi</ng>,GEN
6,randi,She is <ng>randi</ng>,GEN
7,randi,"Always have debate on chutiya topics... Discussing with some more chutiyaas
... U don't have basic understanding... U show ur lack of understanding evey
night...  
Ek <ng>randi</ng> khana kyun nai khol lete tum raand log...",GEN
8,randi,"Who is Arundhati Roy?  
She is a kutiya a pagal kutiya.  
A <ng>randi</ng> a big <ng>randi</ng>.",GEN
9,bitch,"Why can't the Indian government take serious actions to those who talk against
the nation or anyone who involved in instigating any sort of violence or
disturbing the peace of the nation. Freedom of speech doesn't allow anyone to
go anti-national. This <ng>bitch</ng> (Arundhati Roy) has already given such statements
that are anti-national on numerous occasions but she is still living freely.
It's high time for the government to pass a law against these bastards, it
doesn't matter who you are.",GEN
10,bitch,"Govt official take census at arundhati Roy's house.. what is your name maam
..roy says- my name is cunning <ng>bitch</ng>.",GEN
11,bitch,He should have also killed that <ng>bitch</ng>,GEN
12,bitch,flawia egnis is a <ng>bitch</ng>,GEN
13,bitch,"rightly said Kishwar, 'lunatic fringe', 'wacko'. I'm adding '<ng>bitch</ng>'.",GEN
14,bitch,**shut up you feminist <ng>bitch</ng>**,GEN
15,bitch,Hello <ng>bitch</ng> lasagna.,GEN
16,bitch,"She looks like a fox from a drought affected area............she is <ng>bitch</ng> not
brought up by a good parents",GEN
17,bitch,"What's even more disgusting is that not 1 INDIAN WOMAN has the courage to post
a comment against this....probably they fear the backlash....WHAT A SHAME ON
SOCIETY!!!!! Fuck off you <ng>bitch</ng>ES!!!!!!!!!!!!!!!!!!!!!!!",GEN
18,bitch,"if 498a case was false then i would say to the husband -well done by killing
the <ng>bitch</ng>'s family... rightly and justly done... the <ng>bitch</ng> was to be butchered
into pieces...",GEN
19,ee wh,"Fishing for fame. This holy is a dropout drugg<ng>ee wh</ng>o got battered in Tamil
filmdom and wasted her life. Now out of necessity she wants to be some
relevant price of ass.",GEN
20,ee wh,"@Crazy Boy kindly don't get hurt... But read my words what I said.. I said I
have come across those gays who have multiple sexual partners.. it's not going
to be good.. Single sexual partner will be okay... But what about those who
are keeping multiple sexual partners... HIV/HBsAg and Sexually transmitted
diseases are more common in these people.. I have one of my patient who had
suffered from Bacterial meningitis and then had so many problems in his life.
I adore your talent that u have cracked all these exams.. but being a doctor
doesn't means that he is not a human being... I live in an Indian society and
s<ng>ee wh</ng>at happening in the society...",GEN
21,ee wh,"@parul singh It's not true.... but yeah... due to too much indecency of women
in society and the way media using them as an object or piece of meat to
seduce men, many men also are running behind these girls to lick them... at
least you are not their target... but those men who became monster watching
this nudity and lost control over themselves, you can be target for them....  
  
  
Each fuckbois do not s<ng>ee wh</ng>ether you are simple girl or bold... they just
wants your body....  
  
  
So, take care....  
  
  
Values of women and respect for them are getting down day by day... In future,
may be maximum men would became fuckbois just because of this obscenities all
around....  
  
  
Today, it's hard to find a genuine girl or boy....",GEN
22,ee wh,"Oh really??? So u think this madarchod Kabir Singh is true portrayal of
student life in India???  
Watch Kota Factory to s<ng>ee wh</ng>at's student life in India.",GEN
23,ee wh,"We will not going to show any documents to govt.. We will s<ng>ee wh</ng>at they can
do.. The motherf**ker BJP ?",GEN
24, kut,"As per Arundhati she should give her name as Kung Fu<ng> kut</ng>iya and she should
keep practicing balancing tooth brushes on her nipples (god of small things),
that is all she is worth for. They (Roy, Kavita Krishnan, Shehla Rashid)
should rent apartments in Hira Mandi).",GEN
25, kut,Arundati Roy is pagal<ng> kut</ng>ia.,GEN
26, kut,Her father was Kung fu<ng> kut</ng>ta.,GEN
27, kut,"Wonder who those chootiyas are, clapping that India's electoral term is 4
years. RangaBilla? How about the name<ng> kut</ng>iya to her?",GEN
28, kut,"Rudra  
Calling her<ng> kut</ng>ti is insult to bitches  
Arundhati is far wretched",GEN
29, kut,Arundhati is a traitor and a<ng> kut</ng>iyaa,GEN
30, kut,"Wow, It is a great message by this libtard, urban naxal to ensure the
addresses of those Naxals with NPR.  
Let us have funds for making sure for the fight naxals started and killing
BJP/RSS workers. This will be a great tool to take care of these anti-
nationals - Great names ""Ranga Billa, Kung fu<ng> kut</ng>aa and<ng> kut</ng>iya""",GEN
31, kut,ARNAB IS NOT EVEN WORTHY TO BE CALLED A<ng> kut</ng>TA!!!! ITS AN INSULT TO A DOG!!!!!!,GEN
32, kut,"Arundhati can give her name as<ng> kut</ng>TI. But can't suggest these names to illegal
immigrants mostly Muslims.",GEN
33, kut,"Kasturi is making faces as if Kalla<ng> kut</ng>ta (Kanaiya Kumar) is trying to f$#%
.... these are more dangerous than rohingya.",GEN
