,ngram,comment,label
0,fuck,"Totally agree with ur points bro nd kabir singh haters must have girts to
counter these points if they can't then they must shut their <ng>fuck</ng>in mouths
rather than vomiting diarrhoea against d movie.....if they doesn't want to
watch d movie then who is forcing them.......",OAG
1,fuck,Who the <ng>fuck</ng> disliked the video?,OAG
2,fuck,<ng>fuck</ng> feminism !,OAG
3,fuck,"Who the <ng>fuck</ng> told that stupid asshole that LGBT is not our culture???????????  
It was always our culture! Go read the VEDAS! IT didn't come from outside of
India. It was Just banned by a Jerk of King in Britain in some 15th century
and the only thing happened in western culture was that they removed the law
and accepted it earlier than us, who here are not even ready to talk about the
topic!!  
They first brought the law and they first removed the law! But the people in
our country don't even know what's our culture! BC MC SAALE!!!!!!!!!!!!",OAG
4,fuck,"You are soo <ng>fuck</ng>ed up that you can't understand someone else's
perspective......you think whatever you think or say is correct.....lmao",OAG
5,fuck,"These days indians dont give a <ng>fuck</ng> what some idiots think.  
There sole agenda is to make india look less with creative biased stories.  
Liberals & feminists can go and jump of roof no one cares.  
His dark phase is his villan. How he overcomes and what happens if i behave
like that is the movie",OAG
6,fuck,"Difference between Feminism and Sexism  
Feminism - I Was <ng>fuck</ng>ed By 10 Sexists  
Sexism- I <ng>fuck</ng>ed 10 Feminist",OAG
7,fuck,"Honestly who made this bisexual sucharita a <ng>fuck</ng>ing critic she is just so
<ng>fuck</ng>ing annoying",OAG
8,fuck,"What's the name of that hot bearded guy ....his Insta ?......he's <ng>fuck</ng>ing hot
...I would like to be in Ur videos",OAG
9,fuck,<ng>fuck</ng>ing Indian laws...shameless country..,OAG
10,fuc,"Totally agree with ur points bro nd kabir singh haters must have girts to
counter these points if they can't then they must shut their <ng>fuc</ng>kin mouths
rather than vomiting diarrhoea against d movie.....if they doesn't want to
watch d movie then who is forcing them.......",OAG
11,fuc,Who the <ng>fuc</ng>k disliked the video?,OAG
12,fuc,<ng>fuc</ng>k feminism !,OAG
13,fuc,"Who the <ng>fuc</ng>k told that stupid asshole that LGBT is not our culture???????????  
It was always our culture! Go read the VEDAS! IT didn't come from outside of
India. It was Just banned by a Jerk of King in Britain in some 15th century
and the only thing happened in western culture was that they removed the law
and accepted it earlier than us, who here are not even ready to talk about the
topic!!  
They first brought the law and they first removed the law! But the people in
our country don't even know what's our culture! BC MC SAALE!!!!!!!!!!!!",OAG
14,fuc,"You are soo <ng>fuc</ng>ked up that you can't understand someone else's
perspective......you think whatever you think or say is correct.....lmao",OAG
15,fuc,"These days indians dont give a <ng>fuc</ng>k what some idiots think.  
There sole agenda is to make india look less with creative biased stories.  
Liberals & feminists can go and jump of roof no one cares.  
His dark phase is his villan. How he overcomes and what happens if i behave
like that is the movie",OAG
16,fuc,"Difference between Feminism and Sexism  
Feminism - I Was <ng>fuc</ng>ked By 10 Sexists  
Sexism- I <ng>fuc</ng>ked 10 Feminist",OAG
17,fuc,"Honestly who made this bisexual sucharita a <ng>fuc</ng>king critic she is just so
<ng>fuc</ng>king annoying",OAG
18,fuc,"What's the name of that hot bearded guy ....his Insta ?......he's <ng>fuc</ng>king hot
...I would like to be in Ur videos",OAG
19,fuc,<ng>fuc</ng>king Indian laws...shameless country..,OAG
20,uck,"Totally agree with ur points bro nd kabir singh haters must have girts to
counter these points if they can't then they must shut their f<ng>uck</ng>in mouths
rather than vomiting diarrhoea against d movie.....if they doesn't want to
watch d movie then who is forcing them.......",OAG
21,uck,Who the f<ng>uck</ng> disliked the video?,OAG
22,uck,F<ng>uck</ng> feminism !,OAG
23,uck,"Who the f<ng>uck</ng> told that stupid asshole that LGBT is not our culture???????????  
It was always our culture! Go read the VEDAS! IT didn't come from outside of
India. It was Just banned by a Jerk of King in Britain in some 15th century
and the only thing happened in western culture was that they removed the law
and accepted it earlier than us, who here are not even ready to talk about the
topic!!  
They first brought the law and they first removed the law! But the people in
our country don't even know what's our culture! BC MC SAALE!!!!!!!!!!!!",OAG
24,uck,"You are soo f<ng>uck</ng>ed up that you can't understand someone else's
perspective......you think whatever you think or say is correct.....lmao",OAG
25,uck,"These days indians dont give a f<ng>uck</ng> what some idiots think.  
There sole agenda is to make india look less with creative biased stories.  
Liberals & feminists can go and jump of roof no one cares.  
His dark phase is his villan. How he overcomes and what happens if i behave
like that is the movie",OAG
26,uck,"Difference between Feminism and Sexism  
Feminism - I Was F<ng>uck</ng>ed By 10 Sexists  
Sexism- I F<ng>uck</ng>ed 10 Feminist",OAG
27,uck,"Honestly who made this bisexual sucharita a f<ng>uck</ng>ing critic she is just so
f<ng>uck</ng>ing annoying",OAG
28,uck,"What's the name of that hot bearded guy ....his Insta ?......he's f<ng>uck</ng>ing hot
...I would like to be in Ur videos",OAG
29,uck,F<ng>uck</ng>ing Indian laws...shameless country..,OAG
30, fuc,"Totally agree with ur points bro nd kabir singh haters must have girts to
counter these points if they can't then they must shut their<ng> fuc</ng>kin mouths
rather than vomiting diarrhoea against d movie.....if they doesn't want to
watch d movie then who is forcing them.......",OAG
31, fuc,Who the<ng> fuc</ng>k disliked the video?,OAG
32, fuc,"Who the<ng> fuc</ng>k told that stupid asshole that LGBT is not our culture???????????  
It was always our culture! Go read the VEDAS! IT didn't come from outside of
India. It was Just banned by a Jerk of King in Britain in some 15th century
and the only thing happened in western culture was that they removed the law
and accepted it earlier than us, who here are not even ready to talk about the
topic!!  
They first brought the law and they first removed the law! But the people in
our country don't even know what's our culture! BC MC SAALE!!!!!!!!!!!!",OAG
33, fuc,"You are soo<ng> fuc</ng>ked up that you can't understand someone else's
perspective......you think whatever you think or say is correct.....lmao",OAG
34, fuc,"These days indians dont give a<ng> fuc</ng>k what some idiots think.  
There sole agenda is to make india look less with creative biased stories.  
Liberals & feminists can go and jump of roof no one cares.  
His dark phase is his villan. How he overcomes and what happens if i behave
like that is the movie",OAG
35, fuc,"Difference between Feminism and Sexism  
Feminism - I Was<ng> fuc</ng>ked By 10 Sexists  
Sexism- I<ng> fuc</ng>ked 10 Feminist",OAG
36, fuc,"Honestly who made this bisexual sucharita a<ng> fuc</ng>king critic she is just so
fucking annoying",OAG
37, fuc,"What's the name of that hot bearded guy ....his Insta ?......he's<ng> fuc</ng>king hot
...I would like to be in Ur videos",OAG
38, fuc,"God bless the husband. What is the point of the courts, the law and the police
if you are driven to this?<ng> fuc</ng>k the 498A. Is 498A for projecting the woman???
How?? Its gives the woman the legal right to abuse the man.<ng> fuc</ng>k such a law.
Hang the law maker to put this 498A law into the legal system.",OAG
39, fuc,"this man is fully confused, he really need a girlfriend, and he is telling us
by mutual consent he did not mind if his girlfriend get<ng> fuc</ng>ked by someone
else??? Grow up man and change your THARKI T-Shirt?",OAG
40, fuck,"Totally agree with ur points bro nd kabir singh haters must have girts to
counter these points if they can't then they must shut their<ng> fuck</ng>in mouths
rather than vomiting diarrhoea against d movie.....if they doesn't want to
watch d movie then who is forcing them.......",OAG
41, fuck,Who the<ng> fuck</ng> disliked the video?,OAG
42, fuck,"Who the<ng> fuck</ng> told that stupid asshole that LGBT is not our culture???????????  
It was always our culture! Go read the VEDAS! IT didn't come from outside of
India. It was Just banned by a Jerk of King in Britain in some 15th century
and the only thing happened in western culture was that they removed the law
and accepted it earlier than us, who here are not even ready to talk about the
topic!!  
They first brought the law and they first removed the law! But the people in
our country don't even know what's our culture! BC MC SAALE!!!!!!!!!!!!",OAG
43, fuck,"You are soo<ng> fuck</ng>ed up that you can't understand someone else's
perspective......you think whatever you think or say is correct.....lmao",OAG
44, fuck,"These days indians dont give a<ng> fuck</ng> what some idiots think.  
There sole agenda is to make india look less with creative biased stories.  
Liberals & feminists can go and jump of roof no one cares.  
His dark phase is his villan. How he overcomes and what happens if i behave
like that is the movie",OAG
45, fuck,"Difference between Feminism and Sexism  
Feminism - I Was<ng> fuck</ng>ed By 10 Sexists  
Sexism- I<ng> fuck</ng>ed 10 Feminist",OAG
46, fuck,"Honestly who made this bisexual sucharita a<ng> fuck</ng>ing critic she is just so
fucking annoying",OAG
47, fuck,"What's the name of that hot bearded guy ....his Insta ?......he's<ng> fuck</ng>ing hot
...I would like to be in Ur videos",OAG
48, fuck,"God bless the husband. What is the point of the courts, the law and the police
if you are driven to this?<ng> fuck</ng> the 498A. Is 498A for projecting the woman???
How?? Its gives the woman the legal right to abuse the man.<ng> fuck</ng> such a law.
Hang the law maker to put this 498A law into the legal system.",OAG
49, fuck,"this man is fully confused, he really need a girlfriend, and he is telling us
by mutual consent he did not mind if his girlfriend get<ng> fuck</ng>ed by someone
else??? Grow up man and change your THARKI T-Shirt?",OAG
50,fuck ,Who the <ng>fuck </ng>disliked the video?,OAG
51,fuck ,<ng>fuck </ng>feminism !,OAG
52,fuck ,"Who the <ng>fuck </ng>told that stupid asshole that LGBT is not our culture???????????  
It was always our culture! Go read the VEDAS! IT didn't come from outside of
India. It was Just banned by a Jerk of King in Britain in some 15th century
and the only thing happened in western culture was that they removed the law
and accepted it earlier than us, who here are not even ready to talk about the
topic!!  
They first brought the law and they first removed the law! But the people in
our country don't even know what's our culture! BC MC SAALE!!!!!!!!!!!!",OAG
53,fuck ,"These days indians dont give a <ng>fuck </ng>what some idiots think.  
There sole agenda is to make india look less with creative biased stories.  
Liberals & feminists can go and jump of roof no one cares.  
His dark phase is his villan. How he overcomes and what happens if i behave
like that is the movie",OAG
54,fuck ,"God bless the husband. What is the point of the courts, the law and the police
if you are driven to this? <ng>fuck </ng>the 498A. Is 498A for projecting the woman???
How?? Its gives the woman the legal right to abuse the man. <ng>fuck </ng>such a law.
Hang the law maker to put this 498A law into the legal system.",OAG
55,fuck ,Shut the <ng>fuck </ng>up,OAG
56,fuck ,"What's even more disgusting is that not 1 INDIAN WOMAN has the courage to post
a comment against this....probably they fear the backlash....WHAT A SHAME ON
SOCIETY!!!!! <ng>fuck </ng>off you BITCHES!!!!!!!!!!!!!!!!!!!!!!!",OAG
57,fuck ,<ng>fuck </ng>you . my fal and your face .<ng>fuck </ng>YouTube girld,OAG
58,fuck ,"Who the <ng>fuck </ng>are you to judge. Let the peolple should be who make it a
blockbuster in both versions telugu and hindi",OAG
59,fuck ,And who the <ng>fuck </ng>you are,OAG
60,ranu ,I hat <ng>ranu </ng>Mondal,OAG
61,ranu ,"You exposed your self . What is harm for you . Have you any guards to make
comments over political leaders on their education, control over English , and
back ground ? I am not a fan of <ng>ranu </ng>Mondal . You must more cautious on
language before such
comments .",OAG
62,ranu ,I jst hate her <ng>ranu </ng>beggar,OAG
63,ranu ,Street beggar are better than <ng>ranu </ng>Mondal.....,OAG
64,ranu ,Send <ng>ranu </ng>Randy to Rachi,OAG
65,ranu ,"It's very very nice comedy. And <ng>ranu </ng>Mandal is station word, or, selfish
singer and scoundrel girl.",OAG
66,ranu ,<ng>ranu </ng>u r Randy,OAG
67,ranu ,<ng>ranu </ng>Mondal My Foot😫😖😱🤮🤮🤮,OAG
68,ranu ,Ki ato <ng>ranu </ng>mondol...<ng>ranu </ng>mondol.....disgusting...,OAG
69,ranu ,<ng>ranu </ng>is a gost,OAG
70,anu ,I hat r<ng>anu </ng>Mondal,OAG
71,anu ,"You exposed your self . What is harm for you . Have you any guards to make
comments over political leaders on their education, control over English , and
back ground ? I am not a fan of R<ng>anu </ng>Mondal . You must more cautious on
language before such
comments .",OAG
72,anu ,I jst hate her r<ng>anu </ng>beggar,OAG
73,anu ,Street beggar are better than R<ng>anu </ng>Mondal.....,OAG
74,anu ,Send R<ng>anu </ng>Randy to Rachi,OAG
75,anu ,"It's very very nice comedy. And R<ng>anu </ng>Mandal is station word, or, selfish
singer and scoundrel girl.",OAG
76,anu ,R<ng>anu </ng>u r Randy,OAG
77,anu ,R<ng>anu </ng>Mondal My Foot😫😖😱🤮🤮🤮,OAG
78,anu ,Ki ato r<ng>anu </ng>mondol...r<ng>anu </ng>mondol.....disgusting...,OAG
79,anu ,R<ng>anu </ng>is a gost,OAG
80,uck ,Who the f<ng>uck </ng>disliked the video?,OAG
81,uck ,F<ng>uck </ng>feminism !,OAG
82,uck ,"Who the f<ng>uck </ng>told that stupid asshole that LGBT is not our culture???????????  
It was always our culture! Go read the VEDAS! IT didn't come from outside of
India. It was Just banned by a Jerk of King in Britain in some 15th century
and the only thing happened in western culture was that they removed the law
and accepted it earlier than us, who here are not even ready to talk about the
topic!!  
They first brought the law and they first removed the law! But the people in
our country don't even know what's our culture! BC MC SAALE!!!!!!!!!!!!",OAG
83,uck ,"These days indians dont give a f<ng>uck </ng>what some idiots think.  
There sole agenda is to make india look less with creative biased stories.  
Liberals & feminists can go and jump of roof no one cares.  
His dark phase is his villan. How he overcomes and what happens if i behave
like that is the movie",OAG
84,uck ,"God bless the husband. What is the point of the courts, the law and the police
if you are driven to this? F<ng>uck </ng>the 498A. Is 498A for projecting the woman???
How?? Its gives the woman the legal right to abuse the man. F<ng>uck </ng>such a law.
Hang the law maker to put this 498A law into the legal system.",OAG
85,uck ,Shut the f<ng>uck </ng>up,OAG
86,uck ,"What's even more disgusting is that not 1 INDIAN WOMAN has the courage to post
a comment against this....probably they fear the backlash....WHAT A SHAME ON
SOCIETY!!!!! F<ng>uck </ng>off you BITCHES!!!!!!!!!!!!!!!!!!!!!!!",OAG
87,uck ,f<ng>uck </ng>you . my fal and your face .f<ng>uck </ng>YouTube girld,OAG
88,uck ,"Who the f<ng>uck </ng>are you to judge. Let the peolple should be who make it a
blockbuster in both versions telugu and hindi",OAG
89,uck ,And who the f<ng>uck </ng>you are,OAG
90,nu ,I hat ra<ng>nu </ng>Mondal,OAG
91,nu ,"You exposed your self . What is harm for you . Have you any guards to make
comments over political leaders on their education, control over English , and
back ground ? I am not a fan of Ra<ng>nu </ng>Mondal . You must more cautious on
language before such
comments .",OAG
92,nu ,I jst hate her ra<ng>nu </ng>beggar,OAG
93,nu ,Street beggar are better than Ra<ng>nu </ng>Mondal.....,OAG
94,nu ,Send Ra<ng>nu </ng>Randy to Rachi,OAG
95,nu ,"It's very very nice comedy. And Ra<ng>nu </ng>Mandal is station word, or, selfish
singer and scoundrel girl.",OAG
96,nu ,Ra<ng>nu </ng>u r Randy,OAG
97,nu ,Ra<ng>nu </ng>Mondal My Foot😫😖😱🤮🤮🤮,OAG
98,nu ,Ki ato ra<ng>nu </ng>mondol...ra<ng>nu </ng>mondol.....disgusting...,OAG
99,nu ,Ra<ng>nu </ng>is a gost,OAG
