,ngram,comment,label
0,is ag,Anna hazare <ng>is ag</ng>ent,CAG
1,is ag,"I like this act. But what i dont like is, the new money <ng>is ag</ng>ain going to wrong pockets. We are struggling to get one 2000 rs note after standing in a huge line for hours. But all the  big shots are getting money to their homes directly from the bank. what the hell is really going with the RBI and banks.",CAG
2,is ag,"Now ""brave ""indian army <ng>is ag</ng>ain ready fr surgical strike ...",CAG
3,is ag,This <ng>is ag</ng>ainst remarks of court......,CAG
4,is ag,"Dear Islam is a holy faith and Quran is a holy book

But why all world <ng>is ag</ng>ainst Islam only. 

Why so much population blast everywhere by Muslims only

Why whenever there is a terror activity in 9 out 10 cases there is a Islamic jehadi outfit

Why women are treated as children producing machine in islam

Why Muslims prefer madrsas education rather than modem scientific education 

Why sunnis are killing there fellows who follow bit different faith

Why Muslims hate other faiths 

If one needs blood. He won't match religion but check blood group",CAG
5,is ag,"He is right in my view.. prayers are made by heart no by loud speakers..
If honking <ng>is ag</ng>ainst law then miking should be toooo",CAG
6,is ag,#isi and RSS <ng>is ag</ng>ainst of secularism and the enemy of nation,CAG
7,is ag,"Ha..ha...I don't understand the mentality of such type people...the person who is in the favour of BJP ....who is Villain...,&...the person who <ng>is ag</ng>ainst BJP ....who is hero for u......",CAG
8,is ag,"Anna Hazare sponsored by  BJP against Congress , now ask him where h<ng>is ag</ng>itation / Dharana in favour of Lokpal",CAG
9,is ag,Did u count the heads.... Entire Tamil nadu <ng>is ag</ng>ainst PETA. We people's have a culture... Don't spoil that in the name of law....Ban PETA in India.....,CAG
10,t re,Wondering why Educated Ambassador is struggling to pay through Credit/Debit at a Decen<ng>t re</ng>staurant! Cant imagine that diplomat of a Developed nation is not having a Card and he needs Cash only for Dinner.,CAG
11,t re,Obviously haven'<ng>t re</ng>ad about turning the other cheek. Funny kind of Christian fellow.,CAG
12,t re,For wha<ng>t re</ng>ason?ifu,CAG
13,t re,Then star<ng>t re</ng>solving Kashmir issue.,CAG
14,t re,Come on ..you do not have to be abusive  ...however i<ng>t re</ng>veals the type of person you might be.....definitely not a.good Muslim........read the Koran for guidance,CAG
15,t re,Don't listen who ever against you pm because they all corrupted hiding their money .... you doing best  people don'<ng>t re</ng>alise now they will know in coming future time how important helpful for public...good luck.,CAG
16,t re,What happened to sony wlakmen still in sales - ...is that indian manufacturing is a open defaecation system with ou<ng>t re</ng>cycling facility ....anwer me ....from munna bhai,CAG
17,t re,Did u actually listen what he said next move to ge<ng>t re</ng>gularise the salary of labour,CAG
18,t re,This headline shows and proves again that today's media is only TRP driven & it can cross any level to defame AAP. I am quite sure that you've already watched this video bu<ng>t re</ng>luctant to change  the mentality of today's generation as it was expected in this video. Shame on you guys,CAG
19,t re,"Every IT company has a client profile unique to itself. If Infy and TCS were treated as market leaders to even WIPRO then it was and is wrong. INFY and TCS need not and should not rally with WIPRO rally. Marke<ng>t re</ng>action will be company specific in a matured market. There's no fooling thru market or cheer leaders,,",CAG
20, anna,Sanghi dose mila hai<ng> anna</ng>ji ko fir se kyunki  Delhi me jo MCD election hai filhal.. Ab sab ko samajh gaye hai Lokpal aur corruption crusader kitne paani me hai aur kis k saath hai.,CAG
21, anna,Kejriwal is better working corruption free .<ng> anna</ng> have dirty politics what happened to your lokpal fights and fast during UPA period. You are product of dirty swine.,CAG
22, anna,Yes<ng> anna</ng> is a hypocrite,CAG
23, anna,Why isnt<ng> anna</ng> asking BJP to implement Lok pal bill ? Why isnt he doing any fast to force Bjp to get back black money from swiss banks ?<ng> anna</ng> did all the drama to remove congress but not to change the system.,CAG
24, anna,questions for people with common sense from nilesh - Why isnt<ng> anna</ng> asking BJP to implement Lok pal bill ? Why isnt he doing any fast to force Bjp to get back black money from swiss banks ?<ng> anna</ng> did all the drama to remove congress but not to change the system.,CAG
25, anna,I think<ng> anna</ng> is bjp agent.he never said aganest bjp,CAG
26, anna,"Why he won't speak about BJP corruption or those who join BJP and earlier on his side  such Kiren Bedi, VK sing etc it look<ng> anna</ng> main aim was to remove congress from power not corruption and lokpal",CAG
27, anna,Some comments are criticizing<ng> anna</ng> instead of Kejriwal.  What a mentality.,CAG
28, anna,"Drammebaj,<ng> anna</ng>ji. You ran from battlefield when in job and then misled people on black money, Lok Pal.
What is your standing now?",CAG
29, anna,Only supporter of bjp<ng> anna</ng>ji,CAG
30,r peo,"Dear India,  stop playing with the emotions of you<ng>r peo</ng>ple for votes.",CAG
31,r peo,"Pakistan was involved in duplication of Indian Currency they were sending these fake currency in India to few traitors
And now those traitors are feeling ripped off from their possessions
Most of them are hiding behind our poo<ng>r peo</ng>ple and saying gareebo ko maar diya
But actually these traitors are dying 
#salutetoPM",CAG
32,r peo,"Atleast we show reality what happpens.....
but pak media & army keeps thei<ng>r peo</ng>ple in denial mode.... 😂",CAG
33,r peo,"Why only Muslims get such letters, not Hindus, Sikhs, Buddhist, Jains, Jew o<ng>r peo</ng>ple belonging to any other religons?",CAG
34,r peo,"I follow that page because it's good to be aware of what's been going on in othe<ng>r peo</ng>ple's heads and what kinda bull**** they are propagating. We need to be aware. And I feel it's time we spoke up against all that are calling us average middle class people intolerant or biased or any such nonsensical label. We just wanna live in peace, please let us.",CAG
35,r peo,"Sanghi Mahatma has done nothing but successfully dent UPA image , he has not a word to say against current govt not implementing Lokpal or any other issues but gunning after AK because he left his farcical Sanghi satyagraha to actually go political and do something fo<ng>r peo</ng>ple , remember how all political parties were after AK saying that it's easy to shout from outside if you want to make a difference join politics and when he did all started gunning for him",CAG
36,r peo,"Good Cont...& Also middle & lowe<ng>r peo</ng>ple wait for acche din,,,,please please",CAG
37,r peo,questions fo<ng>r peo</ng>ple with common sense from nilesh - Why isnt Anna asking BJP to implement Lok pal bill ? Why isnt he doing any fast to force Bjp to get back black money from swiss banks ? Anna did all the drama to remove congress but not to change the system.,CAG
38,r peo,Wake up and stand by him going to change the life of many poo<ng>r peo</ng>ple,CAG
39,r peo,Well safe to say that not many women marry at 21 and have a baby soon thereafter.  And have the income to stay home with them. But good for her though she shouldn't knock down othe<ng>r peo</ng>ple like she seems to do in this article.,CAG
