,ngram,comment,label
0,nigg,RT @TayMoneyBagz: <ng>nigg</ng>as hate to see me Inda lead so they keep fouling&#128175;&#128175;&#128175;,hateful
1,nigg,"racism&#128564; isnt real&#128581;&#127995;‍♂️ anymore, you stupid <ng>nigg</ng>ers&#128514;&#128514;&#128514;",hateful
2,nigg,RT @KeeeTaughtYou: Why <ng>nigg</ng>as who really b crazy over they ex try to make it seem like they ex was the crazy bitch? U <ng>nigg</ng>as is pussies.,hateful
3,nigg,RT @iamwilliewill: This what happens when you separate yo self from <ng>nigg</ng>as who don't eat they food cold. You FLOURISH... https://t.co/FzTIA…,hateful
4,nigg,"RT @DewayneFiive: When I was fucked up all I heard from <ng>nigg</ng>az is ""damn that's crazy""",hateful
5,nigg,Yo <ng>nigg</ng>a talk to you crazy cause you living like you need his ass,hateful
6,nigg,I must have a ugly <ng>nigg</ng>a magnet attached to me somewhere,hateful
7,nigg,RT @stripperhoe: me before and after fucking a hood <ng>nigg</ng>a https://t.co/EcEttgcQfF,hateful
8,nigg,"the Nina is my bitch &amp; I might have to rape a <ng>nigg</ng>a , the heater on my waist and I might have to bake a <ng>nigg</ng>a!",hateful
9,nigg,RT @iamwilliewill: This what happens when you separate yo self from <ng>nigg</ng>as who don't eat they food cold. You FLOURISH... https://t.co/FzTIA…,hateful
10, nazi,Nazi Hillary!!<ng> nazi</ng> Hillary!!<ng> nazi</ng> Hillary!! Fuck off!! ＃ArrestHillaryCampaign,hateful
11, nazi,"Retweeted Ron Perlman (@perlmutations): If it shits like a<ng> nazi</ng>, and it stinks like a<ng> nazi</ng>, then chances are... https://t.co/oyQstCkpCK",hateful
12, nazi,RT @blumhouse: I dunno... DID the<ng> nazi</ng>s take Hitler's frozen head to their secret Antarctic lizard base? &#129300;&#128125;&#129300; https://t.co/PP611aO0n8,hateful
13, nazi,"RT @bradcrain: IDIOT Alert &#128680;&#128073;@HardballChris compares Jared &amp; Ivanka to Saddam Hussein's boys. Here's YOUR comparison<ng> nazi</ng> LOVER,…",hateful
14, nazi,RT @AbhishekPrtp: That awkward moment when<ng> nazi</ng>s are accusing others of Anti Semitism. #FireKushner,hateful
15, nazi,@michaelwhite @guardian I agree Micheal should have said that the<ng> nazi</ng>'s reasons for the Havaara agreement were entirely anti Semitic,hateful
16, nazi,"RT @MadelineAshby: Or, hey, maybe retconning Captain America into a<ng> nazi</ng> is bad for sales. https://t.co/ktBoXZb2iB",hateful
17, nazi,@NemesisUK @SuicideBiscuits Just not being an evil<ng> nazi</ng> upsets them.,hateful
18, nazi,@TRobinsonNewEra Wrong Yaxley! For every covered one there are 100's of uncovered faces that know you are a<ng> nazi</ng> f… https://t.co/9s4esZux9q,hateful
19, nazi,"Intrigued by this. ""Mastodon Is Like Twitter Without<ng> nazi</ng>s, So Why Are We Not Using It?"" https://t.co/KTkePAnFRB via @motherboard",hateful
20,uslim,"terrorists?! Let's call them what they are, M<ng>uslim</ng> terrorists. We have a duty to defend non M<ng>uslim</ng> minorities from… https://t.co/UpoSU2SocQ",hateful
21,uslim,"""Black M<ng>uslim</ng>s"" are not ""real"" M<ng>uslim</ng>s as Malcolm X found out, to his eternal regret! https://t.co/rU84cyWLuB",hateful
22,uslim,RT @America_1st_: Disgusting idiot Maxine Waters stood before the M<ng>uslim</ng> Brotherhood &amp; openly DEFENDED &amp; Advocated for Sharia Law in…,hateful
23,uslim,The dumb m<ng>uslim</ng> women who sleep with a stranger to save their marriage https://t.co/2WPAKqKiNM Islam is cancer. What a retarded cult!,hateful
24,uslim,"@TuomasEnbuske How so, when being a M<ng>uslim</ng> is everything in life, and if not, dare not criticize those who believe… https://t.co/P7ZEgUU8CF",hateful
25,uslim,4 maulanas cowardly left @aajtak debate when faced M<ng>uslim</ng> women's fiery question...revolution is knocking d door of Indian Islam,hateful
